description,inputGenes_unique,preferredNames_unique
Nephrolithiasis,"9606.ENSP00000228606, 9606.ENSP00000259206, 9606.ENSP00000420194","CASR, CYP27B1, IL1RN"
Nervous system disease,"9606.ENSP00000026218, 9606.ENSP00000064724, 9606.ENSP00000168216, 9606.ENSP00000199448, 9606.ENSP00000215882, 9606.ENSP00000215909, 9606.ENSP00000216452, 9606.ENSP00000218340, 9606.ENSP00000219548, 9606.ENSP00000221742, 9606.ENSP00000221891, 9606.ENSP00000221980, 9606.ENSP00000222693, 9606.ENSP00000222718, 9606.ENSP00000223136, 9606.ENSP00000225275, 9606.ENSP00000225655, 9606.ENSP00000225964, 9606.ENSP00000226193, 9606.ENSP00000226760, 9606.ENSP00000228606, 9606.ENSP00000228918, 9606.ENSP00000229379, 9606.ENSP00000231449, 9606.ENSP00000231484, 9606.ENSP00000231751, 9606.ENSP00000232564, 9606.ENSP00000232905, 9606.ENSP00000233242, 9606.ENSP00000233596, 9606.ENSP00000242057, 9606.ENSP00000242480, 9606.ENSP00000243578, 9606.ENSP00000244769, 9606.ENSP00000245907, 9606.ENSP00000249373, 9606.ENSP00000250092, 9606.ENSP00000251413, 9606.ENSP00000252486, 9606.ENSP00000252506, 9606.ENSP00000252744, 9606.ENSP00000253408, 9606.ENSP00000254079, 9606.ENSP00000254250, 9606.ENSP00000254436, 9606.ENSP00000256447, 9606.ENSP00000257287, 9606.ENSP00000257414, 9606.ENSP00000257895, 9606.ENSP00000258411, 9606.ENSP00000258415, 9606.ENSP00000259206, 9606.ENSP00000259455, 9606.ENSP00000259698, 9606.ENSP00000260408, 9606.ENSP00000260653, 9606.ENSP00000260731, 9606.ENSP00000260947, 9606.ENSP00000261366, 9606.ENSP00000261507, 9606.ENSP00000261523, 9606.ENSP00000262916, 9606.ENSP00000263080, 9606.ENSP00000263317, 9606.ENSP00000263341, 9606.ENSP00000263388, 9606.ENSP00000263408, 9606.ENSP00000263563, 9606.ENSP00000263780, 9606.ENSP00000264335, 9606.ENSP00000264360, 9606.ENSP00000264705, 9606.ENSP00000264710, 9606.ENSP00000265077, 9606.ENSP00000265113, 9606.ENSP00000265459, 9606.ENSP00000265734, 9606.ENSP00000265969, 9606.ENSP00000266718, 9606.ENSP00000267119, 9606.ENSP00000267569, 9606.ENSP00000270142, 9606.ENSP00000270722, 9606.ENSP00000272369, 9606.ENSP00000272371, 9606.ENSP00000273077, 9606.ENSP00000274376, 9606.ENSP00000275493, 9606.ENSP00000277120, 9606.ENSP00000278616, 9606.ENSP00000280097, 9606.ENSP00000280190, 9606.ENSP00000280481, 9606.ENSP00000282272, 9606.ENSP00000282486, 9606.ENSP00000282928, 9606.ENSP00000284262, 9606.ENSP00000284981, 9606.ENSP00000286628, 9606.ENSP00000287020, 9606.ENSP00000287239, 9606.ENSP00000291554, 9606.ENSP00000291565, 9606.ENSP00000291576, 9606.ENSP00000292246, 9606.ENSP00000295888, 9606.ENSP00000297261, 9606.ENSP00000298282, 9606.ENSP00000298910, 9606.ENSP00000299697, 9606.ENSP00000299798, 9606.ENSP00000300900, 9606.ENSP00000301244, 9606.ENSP00000303208, 9606.ENSP00000304956, 9606.ENSP00000305632, 9606.ENSP00000306157, 9606.ENSP00000306330, 9606.ENSP00000306754, 9606.ENSP00000307342, 9606.ENSP00000307959, 9606.ENSP00000308541, 9606.ENSP00000309572, 9606.ENSP00000310375, 9606.ENSP00000310873, 9606.ENSP00000311469, 9606.ENSP00000311825, 9606.ENSP00000313967, 9606.ENSP00000315130, 9606.ENSP00000317272, 9606.ENSP00000317379, 9606.ENSP00000317580, 9606.ENSP00000322020, 9606.ENSP00000323929, 9606.ENSP00000325527, 9606.ENSP00000327545, 9606.ENSP00000330633, 9606.ENSP00000335029, 9606.ENSP00000338185, 9606.ENSP00000338413, 9606.ENSP00000338785, 9606.ENSP00000339398, 9606.ENSP00000340278, 9606.ENSP00000340820, 9606.ENSP00000340874, 9606.ENSP00000341289, 9606.ENSP00000341562, 9606.ENSP00000343200, 9606.ENSP00000344432, 9606.ENSP00000344648, 9606.ENSP00000344786, 9606.ENSP00000345001, 9606.ENSP00000345064, 9606.ENSP00000345656, 9606.ENSP00000345672, 9606.ENSP00000345997, 9606.ENSP00000347046, 9606.ENSP00000347088, 9606.ENSP00000347184, 9606.ENSP00000347684, 9606.ENSP00000349860, 9606.ENSP00000350719, 9606.ENSP00000350833, 9606.ENSP00000350928, 9606.ENSP00000351059, 9606.ENSP00000351147, 9606.ENSP00000351777, 9606.ENSP00000351807, 9606.ENSP00000352011, 9606.ENSP00000352035, 9606.ENSP00000352516, 9606.ENSP00000352798, 9606.ENSP00000353099, 9606.ENSP00000353422, 9606.ENSP00000353654, 9606.ENSP00000353720, 9606.ENSP00000353739, 9606.ENSP00000353826, 9606.ENSP00000354111, 9606.ENSP00000354504, 9606.ENSP00000354573, 9606.ENSP00000355559, 9606.ENSP00000355672, 9606.ENSP00000355893, 9606.ENSP00000356224, 9606.ENSP00000356319, 9606.ENSP00000356545, 9606.ENSP00000356607, 9606.ENSP00000357265, 9606.ENSP00000357726, 9606.ENSP00000357901, 9606.ENSP00000359211, 9606.ENSP00000359285, 9606.ENSP00000359319, 9606.ENSP00000359594, 9606.ENSP00000359719, 9606.ENSP00000360120, 9606.ENSP00000360195, 9606.ENSP00000360431, 9606.ENSP00000360502, 9606.ENSP00000360522, 9606.ENSP00000360608, 9606.ENSP00000360687, 9606.ENSP00000360822, 9606.ENSP00000360985, 9606.ENSP00000361405, 9606.ENSP00000361834, 9606.ENSP00000361926, 9606.ENSP00000362125, 9606.ENSP00000362563, 9606.ENSP00000362734, 9606.ENSP00000362924, 9606.ENSP00000363071, 9606.ENSP00000363330, 9606.ENSP00000363458, 9606.ENSP00000363770, 9606.ENSP00000365227, 9606.ENSP00000365301, 9606.ENSP00000365380, 9606.ENSP00000365514, 9606.ENSP00000366091, 9606.ENSP00000366525, 9606.ENSP00000366997, 9606.ENSP00000367001, 9606.ENSP00000367398, 9606.ENSP00000367545, 9606.ENSP00000367715, 9606.ENSP00000367950, 9606.ENSP00000369372, 9606.ENSP00000369399, 9606.ENSP00000370588, 9606.ENSP00000370593, 9606.ENSP00000371152, 9606.ENSP00000371267, 9606.ENSP00000371420, 9606.ENSP00000371985, 9606.ENSP00000373574, 9606.ENSP00000373648, 9606.ENSP00000373706, 9606.ENSP00000376306, 9606.ENSP00000376367, 9606.ENSP00000376475, 9606.ENSP00000376506, 9606.ENSP00000376637, 9606.ENSP00000377936, 9606.ENSP00000378131, 9606.ENSP00000378394, 9606.ENSP00000379287, 9606.ENSP00000379496, 9606.ENSP00000380690, 9606.ENSP00000381148, 9606.ENSP00000381185, 9606.ENSP00000381231, 9606.ENSP00000381448, 9606.ENSP00000381968, 9606.ENSP00000382083, 9606.ENSP00000384015, 9606.ENSP00000384999, 9606.ENSP00000385000, 9606.ENSP00000386306, 9606.ENSP00000386331, 9606.ENSP00000386444, 9606.ENSP00000386559, 9606.ENSP00000389140, 9606.ENSP00000389998, 9606.ENSP00000390436, 9606.ENSP00000391090, 9606.ENSP00000391481, 9606.ENSP00000392028, 9606.ENSP00000392423, 9606.ENSP00000393066, 9606.ENSP00000393312, 9606.ENSP00000396198, 9606.ENSP00000396467, 9606.ENSP00000397435, 9606.ENSP00000399168, 9606.ENSP00000402060, 9606.ENSP00000403362, 9606.ENSP00000403465, 9606.ENSP00000406220, 9606.ENSP00000407552, 9606.ENSP00000408695, 9606.ENSP00000409594, 9606.ENSP00000409667, 9606.ENSP00000410603, 9606.ENSP00000410964, 9606.ENSP00000412237, 9606.ENSP00000413064, 9606.ENSP00000414303, 9606.ENSP00000416037, 9606.ENSP00000416066, 9606.ENSP00000416293, 9606.ENSP00000416330, 9606.ENSP00000417175, 9606.ENSP00000417185, 9606.ENSP00000418525, 9606.ENSP00000420194, 9606.ENSP00000424226, 9606.ENSP00000424571, 9606.ENSP00000427603, 9606.ENSP00000429633, 9606.ENSP00000431984, 9606.ENSP00000432568, 9606.ENSP00000433666, 9606.ENSP00000434847, 9606.ENSP00000434995, 9606.ENSP00000435585, 9606.ENSP00000437659, 9606.ENSP00000439625, 9606.ENSP00000441235, 9606.ENSP00000441365, 9606.ENSP00000441858, 9606.ENSP00000442050, 9606.ENSP00000442954, 9606.ENSP00000446576, 9606.ENSP00000449089, 9606.ENSP00000450540, 9606.ENSP00000452877, 9606.ENSP00000455426, 9606.ENSP00000456920, 9606.ENSP00000457421, 9606.ENSP00000457703, 9606.ENSP00000458162, 9606.ENSP00000463653, 9606.ENSP00000463778, 9606.ENSP00000467579, 9606.ENSP00000469242, 9606.ENSP00000476480, 9606.ENSP00000477141, 9606.ENSP00000477796, 9606.ENSP00000478561, 9606.ENSP00000478927, 9606.ENSP00000479870, 9606.ENSP00000480240, 9606.ENSP00000480851, 9606.ENSP00000481029, 9606.ENSP00000481380, 9606.ENSP00000482169, 9606.ENSP00000482313, 9606.ENSP00000483872, 9606.ENSP00000484525, 9606.ENSP00000484687, 9606.ENSP00000486291, 9606.ENSP00000487174, 9606.ENSP00000489829, 9606.ENSP00000490083, 9606.ENSP00000490614, 9606.ENSP00000491215, 9606.ENSP00000492024, 9606.ENSP00000493153, 9606.ENSP00000493906, 9606.ENSP00000494678, 9606.ENSP00000494689, 9606.ENSP00000494750, 9606.ENSP00000495061, 9606.ENSP00000495385, 9606.ENSP00000496593, 9606.ENSP00000496779, 9606.ENSP00000497160, 9606.ENSP00000497221, 9606.ENSP00000498132, 9606.ENSP00000498321, 9606.ENSP00000499140, 9606.ENSP00000500990","A2M, ACTB, ACTG1, ACVRL1, ADAM10, AHR, AIF1, ALOX5AP, ANKRD44, ANO10, AP2M1, APC2, APLP1, APOB, APOE, APP, ARFGEF2, ASAH1, ASPA, ASTN2, ATM, ATP6AP2, ATXN1, ATXN2, B3GALNT2, B4GALNT1, B9D2, BARD1, BCL2, BDNF, BEND2, BICDL1, C1QB, C1QC, C3, C9, CA4, CACNA1A, CACNA1E, CACNA1G, CAD, CAPN1, CAPN5, CASR, CAV2, CBS, CC2D2A, CCNA2, CD180, CD52, CD68, CD8A, CD99, CDK6, CEP135, CES1, CES2, CFI, CHD7, CHEK1, CHMP2B, CHRNA4, CIT, CLCA4, CLDN11, CLP1, CLU, CNPY3, CNTN2, COL18A1, COL1A1, COL25A1, COL4A2, COL9A2, COQ2, COX6A1, CRB2, CRTC1, CRYAA, CST3, CTBP2, CTDP1, CTDSP2, CTSB, CX3CR1, CYP1B1, CYP27A1, CYP27B1, DCAF4, DCC, DCDC2, DCX, DES, DIAPH1, DIS3, DMPK, DMXL2, DNAJC5, DNM1L, DNMT1, DOK7, DPP6, DPYD, DST, EGFR, EGR2, EIF1B, EIF2B5, ELN, EPDR1, EPS8, EPS8L2, ERLIN1, ESPN, F2, FAM131B, FBN1, FBN2, FGD4, FGF13, FGF14, FGFR1, FIS1, FOXC1, FOXP3, FREM2, FRRS1L, FTL, GABBR2, GABRA2, GAD1, GADD45G, GAS7, GCH1, GDF6, GFAP, GFPT1, GLI2, GLS, GNB4, GPNMB, GRIN1, GSN, GSTM1, HCN1, HLA-B, HLA-DQA1, HLA-DRB1, HNMT, HNRNPU, HOMER2, HOXA2, HSD17B10, HTT, IBA57, ICAM5, IGF1, IL10, IL1B, IL1RN, IL4, IL7R, ITM2B, JDP2, JPH3, KANK4, KAT6B, KCNA1, KCNC1, KCNJ12, KCNMA1, KCNQ2, KCNQ3, KCNQ4, KCNT1, KIF11, KIF14, KIF2A, KRT71, LARGE1, LDLRAP1, LGALS1, LMNB1, LMX1B, LONP1, LRMDA, LRRK2, LTBR, LTF, LUM, LZTR1, MACF1, MAPKAPK3, MAPT, MARVELD1, MBNL1, MEF2C, MEIS1, MET, MLC1, MME, MMP9, MN1, MOG, MPO, MPPED2, MSMO1, MYBL1, MYD88, MYO7A, NAT8L, NEFL, NEUROD2, NEUROG1, NFASC, NOTCH3, NOX4, NPHP4, NPTXR, NRXN2, NT5C3A, NTRK2, OTOF, P4HA2, PALD1, PARK7, PAX2, PAX6, PCDH10, PCDH12, PCDH19, PCMTD1, PCSK9, PCYT2, PDCD10, PDE1C, PDE5A, PDE6C, PDXK, PECAM1, PFN1, PHC1, PIGH, PIGQ, PITX2, PKNOX2, PLCB1, PLCE1, PLEKHG5, PNKD, PPP1R1B, PPP2R2B, PPT1, PRDM16, PRICKLE1, PRKACB, PRKAR1A, PRKCA, PSAP, PSMC3, PTGDS, PTPRD, PVR, PWP2, RAB10, RALGPS2, RASA1, RASA3, RBFOX3, RBP4, RCVRN, RDH5, RECQL4, REEP6, RELN, RIPOR2, ROR1, RORA, RP2, S100A12, SAG, SCN9A, SCNM1, SEMA4A, SEMA6A, SERPINA1, SERPINA3, SHH, SHROOM1, SIX3, SKOR1, SLC13A5, SLC19A3, SLC1A3, SLC1A6, SLC25A1, SLC25A22, SLC2A1, SLC30A10, SLC37A1, SLC4A10, SLC4A11, SLC9A5, SMO, SNCA, SOD1, SPINT2, SPTBN2, SPTBN4, SPTLC3, SRRM3, STARD13, STUB1, SUGCT, SUN1, SYNE1, SYNE2, SYNJ1, TBC1D24, TENM3, TERT, TGFBI, THAP1, TK2, TKT, TMEM67, TMPRSS4, TP73, TRIM21, TSC22D1, TSHR, TSKU, TSPAN33, TUBB4B, TUBG1, UBA1, UBL7, VAPA, VAPB, VCAN, VCP, VPS13A, VWA1, WASF1, WBP2, WDFY3, WDR17, WFDC1, WFS1, WNT10A, YAP1, YWHAE, YWHAG, YWHAQ, YWHAZ, ZBTB43, ZEB2, ZFYVE27, ZIC1, ZIC2, ZNF423, ZNF592, ZNHIT3, ZSWIM6"
Neurodegenerative disease,"9606.ENSP00000168216, 9606.ENSP00000219548, 9606.ENSP00000221742, 9606.ENSP00000221891, 9606.ENSP00000225655, 9606.ENSP00000229379, 9606.ENSP00000242480, 9606.ENSP00000244769, 9606.ENSP00000252486, 9606.ENSP00000260408, 9606.ENSP00000264335, 9606.ENSP00000265113, 9606.ENSP00000265969, 9606.ENSP00000270142, 9606.ENSP00000278616, 9606.ENSP00000282486, 9606.ENSP00000284981, 9606.ENSP00000291565, 9606.ENSP00000292246, 9606.ENSP00000298910, 9606.ENSP00000299697, 9606.ENSP00000306330, 9606.ENSP00000307959, 9606.ENSP00000315130, 9606.ENSP00000323929, 9606.ENSP00000338413, 9606.ENSP00000340278, 9606.ENSP00000340820, 9606.ENSP00000345672, 9606.ENSP00000347184, 9606.ENSP00000351777, 9606.ENSP00000352011, 9606.ENSP00000352516, 9606.ENSP00000353422, 9606.ENSP00000354111, 9606.ENSP00000356224, 9606.ENSP00000356607, 9606.ENSP00000365301, 9606.ENSP00000366525, 9606.ENSP00000367001, 9606.ENSP00000371152, 9606.ENSP00000371267, 9606.ENSP00000377936, 9606.ENSP00000379287, 9606.ENSP00000380690, 9606.ENSP00000381448, 9606.ENSP00000391090, 9606.ENSP00000409594, 9606.ENSP00000409667, 9606.ENSP00000414303, 9606.ENSP00000416066, 9606.ENSP00000417175, 9606.ENSP00000418525, 9606.ENSP00000431984, 9606.ENSP00000432568, 9606.ENSP00000434995, 9606.ENSP00000439625, 9606.ENSP00000446576, 9606.ENSP00000450540, 9606.ENSP00000452877, 9606.ENSP00000469242, 9606.ENSP00000482169, 9606.ENSP00000489829, 9606.ENSP00000490083, 9606.ENSP00000493153, 9606.ENSP00000500990","A2M, ADAM10, ANO10, APLP1, APOE, APP, ASAH1, ATM, ATP6AP2, ATXN1, ATXN2, BDNF, BICDL1, CACNA1A, CACNA1G, CAPN1, CHEK1, CLP1, CLU, COX6A1, CST3, CTSB, DNAJC5, DNMT1, DPP6, DST, EGR2, FGF14, FTL, HSD17B10, HTT, KCNC1, LRRK2, MAPT, MBNL1, MME, NEFL, PARK7, PDXK, PFN1, PLEKHG5, PPP2R2B, PPT1, RALGPS2, SERPINA1, SERPINA3, SLC1A3, SLC1A6, SNCA, SOD1, SPTBN2, SPTBN4, STUB1, SYNE1, SYNJ1, TK2, UBA1, VAPB, VCP, VPS13A, YWHAE, YWHAG, YWHAQ, YWHAZ, ZFYVE27, ZNF592"
Nonepidermolytic palmoplantar keratoderma,"9606.ENSP00000252252, 9606.ENSP00000261590, 9606.ENSP00000280904, 9606.ENSP00000301653, 9606.ENSP00000369129, 9606.ENSP00000369317","DSC2, DSG2, DSP, KRT16, KRT6A, KRT6B"
Organ system benign neoplasm,"9606.ENSP00000167586, 9606.ENSP00000216492, 9606.ENSP00000250092, 9606.ENSP00000252242, 9606.ENSP00000256078, 9606.ENSP00000261799, 9606.ENSP00000265165, 9606.ENSP00000274376, 9606.ENSP00000283928, 9606.ENSP00000290167, 9606.ENSP00000307508, 9606.ENSP00000307900, 9606.ENSP00000329243, 9606.ENSP00000359319, 9606.ENSP00000373574, 9606.ENSP00000376475, 9606.ENSP00000376637, 9606.ENSP00000378359, 9606.ENSP00000383931, 9606.ENSP00000393312, 9606.ENSP00000405330, 9606.ENSP00000416293, 9606.ENSP00000457421, 9606.ENSP00000496779","ACVRL1, ADH6, CALB2, CD68, CHGA, ESR1, FGFR1, GLUL, GP5, IGF1, JAZF1, KRAS, KRT14, KRT5, KRT7, LEF1, LZTR1, PAX2, PDGFRB, PECAM1, PRKAR1A, RASA1, SLC2A1, WNT4"
Organ system cancer,"9606.ENSP00000167586, 9606.ENSP00000215909, 9606.ENSP00000216492, 9606.ENSP00000221930, 9606.ENSP00000225275, 9606.ENSP00000225964, 9606.ENSP00000227155, 9606.ENSP00000227163, 9606.ENSP00000228918, 9606.ENSP00000231449, 9606.ENSP00000232905, 9606.ENSP00000233146, 9606.ENSP00000249373, 9606.ENSP00000250092, 9606.ENSP00000252242, 9606.ENSP00000252486, 9606.ENSP00000254066, 9606.ENSP00000256078, 9606.ENSP00000257118, 9606.ENSP00000259915, 9606.ENSP00000260947, 9606.ENSP00000261652, 9606.ENSP00000261733, 9606.ENSP00000261799, 9606.ENSP00000262158, 9606.ENSP00000262189, 9606.ENSP00000262262, 9606.ENSP00000262367, 9606.ENSP00000263056, 9606.ENSP00000263341, 9606.ENSP00000263464, 9606.ENSP00000263734, 9606.ENSP00000264335, 9606.ENSP00000265734, 9606.ENSP00000268679, 9606.ENSP00000272233, 9606.ENSP00000274376, 9606.ENSP00000275493, 9606.ENSP00000277120, 9606.ENSP00000278616, 9606.ENSP00000283928, 9606.ENSP00000287842, 9606.ENSP00000290401, 9606.ENSP00000291442, 9606.ENSP00000294339, 9606.ENSP00000296591, 9606.ENSP00000297261, 9606.ENSP00000297267, 9606.ENSP00000300060, 9606.ENSP00000300176, 9606.ENSP00000302037, 9606.ENSP00000304956, 9606.ENSP00000306625, 9606.ENSP00000306754, 9606.ENSP00000307508, 9606.ENSP00000309572, 9606.ENSP00000312082, 9606.ENSP00000312631, 9606.ENSP00000314480, 9606.ENSP00000316032, 9606.ENSP00000317272, 9606.ENSP00000317580, 9606.ENSP00000326581, 9606.ENSP00000329243, 9606.ENSP00000331614, 9606.ENSP00000336752, 9606.ENSP00000337445, 9606.ENSP00000337513, 9606.ENSP00000338272, 9606.ENSP00000339824, 9606.ENSP00000345001, 9606.ENSP00000347088, 9606.ENSP00000348708, 9606.ENSP00000350195, 9606.ENSP00000350425, 9606.ENSP00000350844, 9606.ENSP00000351273, 9606.ENSP00000351777, 9606.ENSP00000352572, 9606.ENSP00000354826, 9606.ENSP00000356331, 9606.ENSP00000357152, 9606.ENSP00000357721, 9606.ENSP00000358001, 9606.ENSP00000360141, 9606.ENSP00000360281, 9606.ENSP00000360431, 9606.ENSP00000363330, 9606.ENSP00000363667, 9606.ENSP00000365012, 9606.ENSP00000369372, 9606.ENSP00000370034, 9606.ENSP00000370588, 9606.ENSP00000371067, 9606.ENSP00000371517, 9606.ENSP00000371638, 9606.ENSP00000372313, 9606.ENSP00000376475, 9606.ENSP00000377546, 9606.ENSP00000377779, 9606.ENSP00000380070, 9606.ENSP00000380877, 9606.ENSP00000381185, 9606.ENSP00000382492, 9606.ENSP00000383053, 9606.ENSP00000383931, 9606.ENSP00000384849, 9606.ENSP00000385334, 9606.ENSP00000386559, 9606.ENSP00000386884, 9606.ENSP00000390436, 9606.ENSP00000397435, 9606.ENSP00000399168, 9606.ENSP00000402257, 9606.ENSP00000405330, 9606.ENSP00000405699, 9606.ENSP00000406229, 9606.ENSP00000406861, 9606.ENSP00000408695, 9606.ENSP00000409594, 9606.ENSP00000412237, 9606.ENSP00000413720, 9606.ENSP00000418525, 9606.ENSP00000420194, 9606.ENSP00000429633, 9606.ENSP00000433488, 9606.ENSP00000439666, 9606.ENSP00000442788, 9606.ENSP00000444736, 9606.ENSP00000450540, 9606.ENSP00000457421, 9606.ENSP00000465630, 9606.ENSP00000478255, 9606.ENSP00000478927, 9606.ENSP00000480132, 9606.ENSP00000480291, 9606.ENSP00000480484, 9606.ENSP00000481380, 9606.ENSP00000482027, 9606.ENSP00000482313, 9606.ENSP00000485659, 9606.ENSP00000486891, 9606.ENSP00000493252, 9606.ENSP00000494061, 9606.ENSP00000494750, 9606.ENSP00000497910, 9606.ENSP00000498251, 9606.ENSP00000498321","ABCB1, ACTB, AGFG2, ALDH2, AMACR, ANPEP, APOA4, APOE, ASCC2, ASPSCR1, ATM, B2M, BARD1, BCL2, BEND2, BIRC3, C8B, CALB2, CALD1, CASP8, CASR, CBFA2T3, CCNA2, CD1C, CD33, CD52, CD68, CD82, CD8A, CD99, CDK6, CDKN1A, CDKN1C, CHGA, COL1A1, CREBBP, CRTC1, CXCR4, EDIL3, EGFR, EIF1B, ELAC2, EPAS1, EPHB2, ESR1, EVPL, FAT1, FGFR3, FIP1L1, FLI1, FNDC1, GAPDH, GLI2, GNAS, GP5, HCK, HEY1, HLA-B, HNF1B, IKZF1, IL10, IL1B, IL4, INSM1, JAK2, JAZF1, KMT2C, KRAS, KRT14, KRT15, KRT5, KRT7, LARGE1, LGALS1, LTBR, MAD1L1, MAP3K6, MAP3K8, MET, MFF, MME, MN1, MPO, MSH2, MSLN, MTRNR2L8, MTUS2, MUC2, MUC5AC, MUC6, MYBL1, MYD88, NCAM1, NEUROD2, NEUROG1, NPTN, NR2F6, NR4A3, NR5A2, NRG1, NTRK2, NUP98, PAX5, PCNT, PDGFRB, PECAM1, PEG3, PHC2, PLCE1, POU5F1, PRKAR1A, PRKCA, PTPN3, RADIL, RARA, RASA1, RECQL4, RHOB, RUNX1T1, S100A8, SERPINA3, SHH, SMAD7, SMARCA2, SMO, SPI1, SRA1, SV2B, TACC2, TAL1, TAS2R30, TCF7L2, TCHH, TERT, TET2, TGFB1, TLR7, TLR8, TNFRSF13B, TSC22D1, UNCX, UPF2, VCP, YAP1, YWHAE, ZFHX3, ZFYVE27, ZNF837"
Osteoarthritis,"9606.ENSP00000221930, 9606.ENSP00000263341","IL1B, TGFB1"
Palmoplantar keratosis,"9606.ENSP00000167586, 9606.ENSP00000246662, 9606.ENSP00000252252, 9606.ENSP00000261590, 9606.ENSP00000280904, 9606.ENSP00000301653, 9606.ENSP00000310861, 9606.ENSP00000369129, 9606.ENSP00000369317, 9606.ENSP00000468002","DSC2, DSG2, DSP, KANK2, KRT14, KRT16, KRT2, KRT6A, KRT6B, KRT9"
Parasitic infectious disease,"9606.ENSP00000217131, 9606.ENSP00000229270, 9606.ENSP00000231449, 9606.ENSP00000234111, 9606.ENSP00000267569, 9606.ENSP00000302324, 9606.ENSP00000317674, 9606.ENSP00000353720, 9606.ENSP00000368572, 9606.ENSP00000377192, 9606.ENSP00000386559, 9606.ENSP00000396308, 9606.ENSP00000412237, 9606.ENSP00000415743, 9606.ENSP00000441828, 9606.ENSP00000454071","APOL1, CD36, CD8A, CES1, CTSZ, DHFR, G6PD, HPR, IL10, IL4, JDP2, LDLR, ODC1, RNASE3, SAT1, TPI1"
Parasitic protozoa infectious disease,"9606.ENSP00000229270, 9606.ENSP00000231449, 9606.ENSP00000234111, 9606.ENSP00000267569, 9606.ENSP00000317674, 9606.ENSP00000377192, 9606.ENSP00000386559, 9606.ENSP00000396308, 9606.ENSP00000412237, 9606.ENSP00000415743, 9606.ENSP00000441828","APOL1, CD36, CD8A, DHFR, G6PD, HPR, IL10, IL4, JDP2, ODC1, TPI1"
Parkinsons disease,"9606.ENSP00000264335, 9606.ENSP00000306330, 9606.ENSP00000340278, 9606.ENSP00000340820, 9606.ENSP00000371267, 9606.ENSP00000379287, 9606.ENSP00000409667, 9606.ENSP00000500990","MAPT, PARK7, SNCA, SYNJ1, YWHAE, YWHAG, YWHAQ, YWHAZ"
